Plot,Date sampled,CWD subplot ID,Species code (if possible),Length (m),Endpoint 1 diameter (cm),Midpoint diameter (cm),Endpoint 2 diameter (cm),Decay class of whole piece,Avg diameter (cm),Radius (cm),Volume (cm3),Species + decay class,Density (g cm-3),Mass (kg),Char class (BP17 ONLY),,,,,,,,,,,,,,,
BP17#1,7/13/2020,240,ACRU,2.98,9.6,7.2,6.3,2,7.7,3.85,13877,ACRU2,0.4090,5.675588549,0,,,,,,,,,,,,,,,
BP17#1,7/13/2020,240,ACRU,0.96,10.1,11.7,12.2,2,11.3,5.666666667,9684,ACRU2,0.4090,3.960953528,0,,,,,,,,,,,,,,,
BP17#1,7/13/2020,240,ACRU,1.01,9.9,9.6,9.4,2,9.6,4.816666667,7361,ACRU2,0.4090,3.01084043,0,,,,,,,,,,,,,,,
BP17#1,7/13/2020,240,ACRU,0.53,10.8,10.4,10.3,2,10.5,5.25,4589,ACRU2,0.4090,1.877014628,0,,,,,,,,,,,,,,,
BP17#1,7/13/2020,240,ACRU,1.69,10.7,6.0,7.4,2,8.0,4.016666667,8566,ACRU2,0.4090,3.503414069,0,,,,,,,,,,,,,,,
BP17#1,7/13/2020,240,PIRE,0.71,11.7,11.6,12.8,1,12.0,6.016666667,8075,PIRE1,0.5987,4.83425308,1,,,,,,,,,,,,,,,
BP17#1,7/13/2020,240,PIRE,2.50,6.8,9.1,10.1,2,8.7,4.333333333,14748,PIRE2,0.3780,5.574756164,1,,,,,,,,,,,,,,,
BP17#1,7/13/2020,240,PIRE,5.89,6.1,8.8,6.1,2,7.0,3.5,22667,PIRE2,0.3780,8.568268277,1,,,,,,,,,,,,,,,
BP17#1,7/13/2020,240,PIRE,2.90,14.9,9.6,11.8,2,12.1,6.05,33347,PIRE2,0.3780,12.60521971,1,,,,,,,,,,,,,,,
BP17#1,7/13/2020,240,PIRE,2.13,13.0,11.4,8.9,2,11.1,5.55,20612,PIRE2,0.3780,7.791251836,0,,,,,,,,,,,,,,,
BP17#1,7/13/2020,240,PIST,0.42,5.8,7.0,5.2,3,6.0,3,1188,PIST3,0.2843,0.337612511,0,,,,,,,,,,,,,,,
BP17#1,7/13/2020,240,POGR,4.34,10.2,10.4,11.2,1,10.6,5.3,38299,POGR1,0.5987,22.92981757,1,,,,,,,,,,,,,,,
BP17#1,7/13/2020,240,QURU,1.52,7.3,6.3,6.3,1,6.6,3.316666667,5253,QURU1,0.8035,4.220685514,0,,,,,,,,,,,,,,,
BP17#1,7/13/2020,240,QURU,1.39,6.0,6.1,5.7,2,5.9,2.966666667,3843,QURU2,0.5925,2.277144191,1,,,,,,,,,,,,,,,
