Plot,Date sampled,CWD subplot ID,Species code (if possible),Length (m),Endpoint 1 diameter (cm),Midpoint diameter (cm),Endpoint 2 diameter (cm),Decay class of whole piece,Avg diameter (cm),Radius (cm),Volume (cm3),Species + decay class,Density (g cm-3),Mass (kg),Char class (BP17 ONLY),,,,,,,,,,,,,,,
DNR87#3,6/15/2020,120,PIST,0.70,10.0,8.5,8.0,5,8.8,4.416666667,4290,PIST5,0.0680,0.291706477,,,,,,,,,,,,,,,,
DNR87#3,6/15/2020,120,POGR,1.13,5.3,5.0,5.0,1,5.1,2.55,2308,POGR1,0.5987,1.382031479,,,,,,,,,,,,,,,,
DNR87#3,6/15/2020,120,POGR,1.25,5.0,5.0,5.6,2,5.2,2.6,2655,POGR2,0.3780,1.003456109,,,,,,,,,,,,,,,,
DNR87#3,6/15/2020,120,POGR,0.59,5.5,5.9,6.0,3,5.8,2.9,1559,POGR3,0.2843,0.443174476,,,,,,,,,,,,,,,,
DNR87#3,6/15/2020,120,POGR,0.87,6.3,8.2,6.2,3,6.9,3.45,3253,POGR3,0.2843,0.924877417,,,,,,,,,,,,,,,,
DNR87#3,6/15/2020,120,POGR,0.45,5.3,5.3,5.0,3,5.2,2.6,956,POGR3,0.2843,0.271697688,,,,,,,,,,,,,,,,
DNR87#3,6/15/2020,120,POGR,0.34,5.2,5.2,5.0,4,5.1,2.566666667,704,POGR4,0.2673,0.188090426,,,,,,,,,,,,,,,,
DNR87#3,6/15/2020,120,POGR,0.38,5.5,6.0,6.0,4,5.8,2.916666667,1016,POGR4,0.2673,0.271460112,,,,,,,,,,,,,,,,
DNR87#3,6/15/2020,120,POGR,0.85,28.0,26.0,24,5,26.0,13,45129,POGR5,0.0680,3.068770536,,,,,,,,,,,,,,,,
DNR87#3,6/15/2020,120,Stump- BEPA,0.85,13.0,10.2,8.9,3,10.7,5.35,7643,Stump- BEPA3,0.3178,2.429015328,,,,,,,,,,,,,,,,
DNR87#3,6/15/2020,120,Stump- BEPA,0.22,7.7,6.9,5.3,3,6.6,3.316666667,760,Stump- BEPA3,0.3178,0.241618452,,,,,,,,,,,,,,,,
DNR87#3,6/15/2020,120,Stump- BEPA,1.20,9.5,7.2,7.3,4,8.0,4,6032,Stump- BEPA4,0.2016,1.216022552,,,,,,,,,,,,,,,,
DNR87#3,6/15/2020,120,Stump- BEPA,1.10,9.1,7.4,6.5,4,7.7,3.833333333,5078,Stump- BEPA4,0.2016,1.023731948,,,,,,,,,,,,,,,,
DNR87#3,6/15/2020,120,Stump- BEPA,0.34,6.4,6.4,8.5,5,7.1,3.55,1346,Stump- BEPA5,0.1684,0.226687505,,,,,,,,,,,,,,,,
DNR87#3,6/15/2020,120,Stump- POGR,0.52,7.5,6.2,6.6,2,6.8,3.383333333,1870,Stump- POGR2,0.3780,0.706861928,,,,,,,,,,,,,,,,
IP#1,6/17/2020,0,ACSA,2.01,13.7,13.0,14.1,1,13.6,6.8,29199,ACSA1,0.8034,23.45824852,,,,,,,,,,,,,,,,
IP#1,6/17/2020,0,ACSA,2.76,15.9,14.6,14.1,1,14.9,7.433333333,47910,ACSA1,0.8034,38.49089405,,,,,,,,,,,,,,,,
IP#1,6/17/2020,0,ACSA,3.07,12.4,15.7,13.7,1,13.9,6.966666667,46810,ACSA1,0.8034,37.60712541,,,,,,,,,,,,,,,,
IP#1,6/17/2020,0,ACSA,0.73,10.4,9.0,12.8,1,10.7,5.366666667,6605,ACSA1,0.8034,5.306568844,,,,,,,,,,,,,,,,
IP#1,6/17/2020,0,ACSA,0.92,7.1,6.9,7.8,1,7.3,3.633333333,3815,ACSA1,0.8034,3.06534961,,,,,,,,,,,,,,,,
IP#1,6/17/2020,0,ACSA,1.46,27.7,23.9,29.5,1,27.0,13.51666667,83800,ACSA1,0.8034,67.32459717,,,,,,,,,,,,,,,,
IP#1,6/17/2020,0,ACSA,0.89,7.8,6.1,6.1,1,6.7,3.333333333,3107,ACSA1,0.8034,2.495911587,,,,,,,,,,,,,,,,
IP#1,6/17/2020,0,ACSA,0.71,17.1,15.6,14.9,1,15.9,7.933333333,14038,ACSA1,0.8034,11.27850285,,,,,,,,,,,,,,,,
IP#1,6/17/2020,0,ACSA,2.01,7.8,7.2,5.5,2,6.8,3.416666667,7371,ACSA2,0.5925,4.367566298,,,,,,,,,,,,,,,,
IP#1,6/17/2020,0,ACSA,0.87,6.9,7.2,6.0,2,6.7,3.35,3067,ACSA2,0.5925,1.817385648,,,,,,,,,,,,,,,,
IP#1,6/17/2020,0,ACSA,2.12,7.7,7.8,8.5,2,8.0,4,10656,ACSA2,0.5925,6.313847251,,,,,,,,,,,,,,,,
IP#1,6/17/2020,0,FAGR,0.31,8.4,9.9,9.9,1,9.4,4.7,2151,FAGR1,0.8034,1.728379513,,,,,,,,,,,,,,,,
IP#1,6/17/2020,0,FAGR,1.46,20.4,16.4,16.8,1,17.9,8.933333333,36604,FAGR1,0.8034,29.40773895,,,,,,,,,,,,,,,,
IP#1,6/17/2020,0,FAGR,0.21,12.0,11.2,10.9,1,11.4,5.683333333,2131,FAGR1,0.8034,1.712013764,,,,,,,,,,,,,,,,
IP#1,6/17/2020,0,FAGR,0.21,10.4,10.6,11.6,1,10.9,5.433333333,1948,FAGR1,0.8034,1.564709409,,,,,,,,,,,,,,,,
IP#1,6/17/2020,0,FAGR,5.44,23.0,15.4,18.2,1,18.9,9.433333333,152082,FAGR1,0.8034,122.1830498,,,,,,,,,,,,,,,,
IP#1,6/17/2020,0,FAGR,0.84,11.0,11.1,10.9,2,11.0,5.5,7983,FAGR2,0.5925,4.729801258,,,,,,,,,,,,,,,,
IP#1,6/17/2020,0,FAGR,1.13,10.8,10.3,10.0,2,10.4,5.183333333,9538,FAGR2,0.5925,5.651125447,,,,,,,,,,,,,,,,
IP#1,6/17/2020,0,FAGR,0.68,5.9,6.5,7.3,2,6.6,3.283333333,2303,FAGR2,0.5925,1.364511159,,,,,,,,,,,,,,,,
IP#1,6/17/2020,0,FAGR,0.29,7.2,8.2,10.3,2,8.6,4.283333333,1672,FAGR2,0.5925,0.990375689,,,,,,,,,,,,,,,,
IP#1,6/17/2020,0,Unknown,0.53,5.0,5.4,5.6,2,5.3,2.666666667,1184,Unknown2,0.4314,0.510791131,,,,,,,,,,,,,,,,
IP#1,6/17/2020,0,Unknown,0.82,5.1,5.3,5.0,2,5.1,2.566666667,1697,Unknown2,0.4314,0.732120903,,,,,,,,,,,,,,,,
IP#1,6/17/2020,0,Unknown,1.06,5.9,6.2,6.1,2,6.1,3.033333333,3064,Unknown2,0.4314,1.321831673,,,,,,,,,,,,,,,,
IP#1,6/17/2020,0,Unknown,1.00,5.6,5.4,5.0,2,5.3,2.666666667,2234,Unknown2,0.4314,0.96375685,,,,,,,,,,,,,,,,
IP#1,6/17/2020,0,Unknown,1.21,6.4,7.1,7.8,3,7.1,3.55,4791,Unknown3,0.3356,1.607732908,,,,,,,,,,,,,,,,
IP#1,6/17/2020,0,Unknown,6.05,29.7,31.2,29.6,3,30.2,15.08333333,432414,Unknown3,0.3356,145.1181914,,,,,,,,,,,,,,,,
IP#1,6/17/2020,0,Unknown,0.53,5.0,5.6,6.0,4,5.5,2.766666667,1274,Unknown4,0.2517,0.320791338,,,,,,,,,,,,,,,,
IP#1,6/17/2020,0,Unknown,0.33,6.8,7.0,6.7,4,6.8,3.416666667,1210,Unknown4,0.2517,0.304615676,,,,,,,,,,,,,,,,
IP#1,6/17/2020,0,Unknown,0.72,8.2,9.3,9.4,5,9.0,4.483333333,4547,Unknown5,0.1607,0.730634718,,,,,,,,,,,,,,,,
IP#1,6/17/2020,0,Unknown,0.32,6.6,6.6,6.5,5,6.6,3.283333333,1084,Unknown5,0.1607,0.174158903,,,,,,,,,,,,,,,,
IP#1,6/17/2020,0,Unknown,0.96,7.7,6.8,6.8,5,7.1,3.55,3801,Unknown5,0.1607,0.61079249,,,,,,,,,,,,,,,,
IP#1,6/17/2020,120,Unknown,3.91,5.0,5.5,6.6,2,5.7,2.85,9977,Unknown2,0.4314,4.304240116,,,,,,,,,,,,,,,,
IP#1,6/17/2020,120,Unknown,0.44,5.0,5.0,5.0,2,5.0,2.5,864,Unknown2,0.4314,0.372702844,,,,,,,,,,,,,,,,
IP#1,6/17/2020,120,Unknown,0.61,6.5,6.0,8.8,2,7.1,3.55,2415,Unknown2,0.4314,1.041877249,,,,,,,,,,,,,,,,
IP#1,6/17/2020,120,Unknown,1.31,10.8,7.8,8.3,2,9.0,4.483333333,8272,Unknown2,0.4314,3.568645171,,,,,,,,,,,,,,,,
IP#1,6/17/2020,120,Unknown,0.58,5.5,5.0,5.0,2,5.2,2.583333333,1216,Unknown2,0.4314,0.524588665,,,,,,,,,,,,,,,,
IP#1,6/17/2020,120,Unknown,1.20,5.9,5.0,5.0,2,5.3,2.65,2647,Unknown2,0.4314,1.142097044,,,,,,,,,,,,,,,,
IP#1,6/17/2020,120,Unknown,2.27,8.8,7.8,5.0,2,7.2,3.6,9242,Unknown2,0.4314,3.987134372,,,,,,,,,,,,,,,,
IP#1,6/17/2020,120,Unknown,0.30,6.8,5.4,5.0,2,5.7,2.866666667,775,Unknown2,0.4314,0.334122453,,,,,,,,,,,,,,,,
IP#1,6/17/2020,120,Unknown,1.44,5.0,6.2,8.4,2,6.5,3.266666667,4827,Unknown2,0.4314,2.082582178,,,,,,,,,,,,,,,,
IP#1,6/17/2020,120,Unknown,1.92,10.0,11.1,10.5,3,10.5,5.266666667,16731,Unknown3,0.3356,5.614934805,,,,,,,,,,,,,,,,
IP#1,6/17/2020,120,Unknown,0.20,5.1,5.0,5.0,3,5.0,2.516666667,398,Unknown3,0.3356,0.133552867,,,,,,,,,,,,,,,,
IP#1,6/17/2020,120,Unknown,0.59,6.9,6.5,6.2,3,6.5,3.266666667,1978,Unknown3,0.3356,0.663794238,,,,,,,,,,,,,,,,
IP#1,6/17/2020,120,Unknown,0.21,6.0,6.3,5.2,4,5.8,2.916666667,561,Unknown4,0.2517,0.141262205,,,,,,,,,,,,,,,,
IP#1,6/17/2020,120,Unknown,0.23,7.2,6.8,5.0,4,6.3,3.166666667,725,Unknown4,0.2517,0.182375135,,,,,,,,,,,,,,,,
IP#1,6/17/2020,120,Unknown,0.37,11.3,11.6,11.2,5,11.4,5.683333333,3755,Unknown5,0.1607,0.603356132,,,,,,,,,,,,,,,,
IP#1,6/17/2020,240,FAGR,0.94,9.2,6.8,8.9,2,8.3,4.15,5086,FAGR2,0.5925,3.013438096,,,,,,,,,,,,,,,,
IP#1,6/17/2020,240,FAGR,1.16,8.6,9.6,10.6,2,9.6,4.8,8396,FAGR2,0.5925,4.974835117,,,,,,,,,,,,,,,,
IP#1,6/17/2020,240,FAGR,2.07,5.2,7.4,7.0,2,6.5,3.266666667,6940,FAGR2,0.5925,4.111669655,,,,,,,,,,,,,,,,
IP#1,6/17/2020,240,FAGR,2.33,10.2,13.7,12.7,2,12.2,6.1,27237,FAGR2,0.5925,16.13815262,,,,,,,,,,,,,,,,
IP#1,6/17/2020,240,FAGR,0.44,8.5,8.0,8.5,2,8.3,4.166666667,2400,FAGR2,0.5925,1.421897925,,,,,,,,,,,,,,,,
IP#1,6/17/2020,240,FAGR,1.10,5.0,5.3,5.5,2,5.3,2.633333333,2396,FAGR2,0.5925,1.419850392,,,,,,,,,,,,,,,,
IP#1,6/17/2020,240,FAGR,1.63,5.8,6.8,8.4,2,7.0,3.5,6273,FAGR2,0.5925,3.716737765,,,,,,,,,,,,,,,,
IP#1,6/17/2020,240,FAGR,1.48,5.0,5.5,5.8,2,5.4,2.716666667,3432,FAGR2,0.5925,2.033165121,,,,,,,,,,,,,,,,
IP#1,6/17/2020,240,FAGR,0.38,9.3,9.7,11.7,2,10.2,5.116666667,3125,FAGR2,0.5925,1.851808504,,,,,,,,,,,,,,,,
IP#1,6/17/2020,240,FAGR,0.81,12.8,13.2,13.2,2,13.1,6.533333333,10862,FAGR2,0.5925,6.435656852,,,,,,,,,,,,,,,,
IP#1,6/17/2020,240,FAGR,1.32,8.9,8.4,7.6,2,8.3,4.15,7142,FAGR2,0.5925,4.231636476,,,,,,,,,,,,,,,,
IP#1,6/17/2020,240,FAGR,2.57,11.6,8.9,7.0,2,9.2,4.583333333,16961,FAGR2,0.5925,10.04926358,,,,,,,,,,,,,,,,
IP#1,6/17/2020,240,FAGR,0.64,8.3,8.5,10.5,2,9.1,4.55,4162,FAGR2,0.5925,2.466272127,,,,,,,,,,,,,,,,
IP#1,6/17/2020,240,FAGR,1.28,8.7,8.7,8.4,2,8.6,4.3,7435,FAGR2,0.5925,4.405397573,,,,,,,,,,,,,,,,
IP#1,6/17/2020,240,FAGR,2.97,5.0,5.3,7.3,2,5.9,2.933333333,8028,FAGR2,0.5925,4.756828693,,,,,,,,,,,,,,,,
IP#1,6/17/2020,240,FAGR,2.22,5.0,8.4,9.3,2,7.6,3.783333333,9983,FAGR2,0.5925,5.914804784,,,,,,,,,,,,,,,,
IP#1,6/17/2020,240,FAGR,1.12,5.5,5.0,6.5,2,5.7,2.833333333,2825,FAGR2,0.5925,1.67359971,,,,,,,,,,,,,,,,
IP#1,6/17/2020,240,FAGR,0.32,8.0,6.9,7.5,2,7.5,3.733333333,1401,FAGR2,0.5925,0.830198112,,,,,,,,,,,,,,,,
IP#1,6/17/2020,240,FAGR,0.99,5.3,5.2,5.8,2,5.4,2.716666667,2295,FAGR2,0.5925,1.360022615,,,,,,,,,,,,,,,,
IP#1,6/17/2020,240,FAGR,1.77,7.8,6.9,5.0,2,6.6,3.283333333,5995,FAGR2,0.5925,3.551742281,,,,,,,,,,,,,,,,
IP#1,6/17/2020,240,FAGR,0.44,5.7,5.0,5.0,2,5.2,2.616666667,946,FAGR2,0.5925,0.560773791,,,,,,,,,,,,,,,,
IP#1,6/17/2020,240,FAGR,1.50,6.8,6.4,7.8,2,7.0,3.5,5773,FAGR2,0.5925,3.420310827,,,,,,,,,,,,,,,,
IP#1,6/17/2020,240,FAGR,1.93,14.1,9.8,8.9,2,10.9,5.466666667,18120,FAGR2,0.5925,10.735956,,,,,,,,,,,,,,,,
IP#1,6/17/2020,240,FAGR,0.20,11.3,9.8,9.1,2,10.1,5.033333333,1592,FAGR2,0.5925,0.943147479,,,,,,,,,,,,,,,,
IP#1,6/17/2020,240,FAGR,1.02,6.5,7.2,7.3,2,7.0,3.5,3925,FAGR2,0.5925,2.325811362,,,,,,,,,,,,,,,,
IP#1,6/17/2020,240,FAGR,0.74,7.5,7.1,7.8,2,7.5,3.733333333,3240,FAGR2,0.5925,1.919833135,,,,,,,,,,,,,,,,
IP#1,6/17/2020,240,FAGR,0.77,5.6,5.1,5.5,2,5.4,2.7,1763,FAGR2,0.5925,1.044856096,,,,,,,,,,,,,,,,
IP#1,6/17/2020,240,FAGR,0.80,10.3,10.2,10.3,2,10.3,5.133333333,6623,FAGR2,0.5925,3.923983266,,,,,,,,,,,,,,,,
IP#1,6/17/2020,240,FAGR,0.20,19.4,19.3,19.0,2,19.2,9.616666667,5811,FAGR2,0.5925,3.442844031,,,,,,,,,,,,,,,,
IP#1,6/17/2020,240,FAGR,1.52,12.1,21.1,14.4,3,15.9,7.933333333,30054,FAGR3,0.4304,12.93531854,,,,,,,,,,,,,,,,
IP#1,6/17/2020,240,FAGR,0.28,12.2,13.1,14.1,3,13.1,6.566666667,3793,FAGR3,0.4304,1.632563602,,,,,,,,,,,,,,,,
IP#1,6/17/2020,240,FAGR,0.35,5.0,5.0,6.5,3,5.5,2.75,832,FAGR3,0.4304,0.357894947,,,,,,,,,,,,,,,,
IP#1,6/17/2020,240,FAGR,0.52,5.6,5.5,5.0,3,5.4,2.683333333,1176,FAGR3,0.4304,0.5062613,,,,,,,,,,,,,,,,
IP#1,6/17/2020,240,FAGR,1.01,5.0,5.4,5.4,3,5.3,2.633333333,2200,FAGR3,0.4304,0.947011346,,,,,,,,,,,,,,,,
IP#1,6/17/2020,240,FAGR,0.52,5.6,5.4,5.0,4,5.3,2.666666667,1162,FAGR4,0.3074,0.35710386,,,,,,,,,,,,,,,,
IP#1,6/17/2020,240,Unknown,0.25,5.4,5.3,5.0,3,5.2,2.616666667,538,Unknown3,0.3356,0.180471504,,,,,,,,,,,,,,,,
IP#1,6/17/2020,240,Unknown,0.32,6.0,5.1,5.3,3,5.5,2.733333333,751,Unknown3,0.3356,0.25206178,,,,,,,,,,,,,,,,
IP#1,6/17/2020,240,Unknown,0.72,9.1,7.8,5.8,3,7.6,3.783333333,3238,Unknown3,0.3356,1.086559554,,,,,,,,,,,,,,,,
IP#1,6/17/2020,240,Unknown,1.10,6.0,6.5,7.8,3,6.8,3.383333333,3956,Unknown3,0.3356,1.327559776,,,,,,,,,,,,,,,,
IP#2,6/17/2020,0,ACSA,0.67,6.4,6.5,6.9,1,6.6,3.3,2292,ACSA1,0.8034,1.841553679,,,,,,,,,,,,,,,,
IP#2,6/17/2020,0,TSCA,0.57,5.0,5.4,6.1,1,5.5,2.75,1354,TSCA1,0.5987,0.81077318,,,,,,,,,,,,,,,,
IP#2,6/17/2020,0,TSCA,0.93,7.1,7.0,5.6,1,6.6,3.283333333,3150,TSCA1,0.5987,1.885697525,,,,,,,,,,,,,,,,
IP#2,6/17/2020,0,TSCA,0.34,5.0,5.0,5.0,1,5.0,2.5,668,TSCA1,0.5987,0.399685198,,,,,,,,,,,,,,,,
IP#2,6/17/2020,0,TSCA,0.42,5.6,5.8,5.2,2,5.5,2.766666667,1010,TSCA2,0.3780,0.381772497,,,,,,,,,,,,,,,,
IP#2,6/17/2020,0,TSCA,0.67,6.9,7.0,7.4,3,7.1,3.55,2653,TSCA3,0.2843,0.754150878,,,,,,,,,,,,,,,,
IP#2,6/17/2020,0,TSCA,0.80,6.1,5.2,5.2,4,5.5,2.75,1901,TSCA4,0.2673,0.508047368,,,,,,,,,,,,,,,,
IP#2,6/17/2020,0,TSCA,0.60,6.0,7.0,5.4,4,6.1,3.066666667,1773,TSCA4,0.2673,0.473841645,,,,,,,,,,,,,,,,
IP#2,6/17/2020,0,Unknown,1.90,7.2,7.0,6.4,2,6.9,3.433333333,7036,Unknown2,0.4314,3.035397376,,,,,,,,,,,,,,,,
IP#2,6/17/2020,0,Unknown,0.95,5.0,6.0,7.4,2,6.1,3.066666667,2807,Unknown2,0.4314,1.210840013,,,,,,,,,,,,,,,,
IP#2,6/18/2020,120,ACSA,0.43,15.0,13.6,14.8,4,14.5,7.233333333,7068,ACSA4,0.3074,2.172696925,,,,,,,,,,,,,,,,
IP#2,6/18/2020,120,FAGR,1.12,6.1,6.4,7.2,1,6.6,3.283333333,3793,FAGR1,0.8034,3.047401481,,,,,,,,,,,,,,,,
IP#2,6/18/2020,120,FAGR,1.11,8.7,10.2,11.0,1,10.0,4.983333333,8660,FAGR1,0.8034,6.957361262,,,,,,,,,,,,,,,,
IP#2,6/18/2020,120,FAGR,0.20,5.0,5.0,5.7,1,5.2,2.616666667,430,FAGR1,0.8034,0.345627667,,,,,,,,,,,,,,,,
IP#2,6/18/2020,120,FAGR,2.12,25.2,18.6,18.1,1,20.6,10.31666667,70887,FAGR1,0.8034,56.95034486,,,,,,,,,,,,,,,,
IP#2,6/18/2020,120,FAGR,3.43,18.3,17.5,15.7,1,17.2,8.583333333,79388,FAGR1,0.8034,63.78047913,,,,,,,,,,,,,,,,
IP#2,6/18/2020,120,FAGR,0.32,7.2,6.2,6.4,1,6.6,3.3,1095,FAGR1,0.8034,0.879548026,,,,,,,,,,,,,,,,
IP#2,6/18/2020,120,FAGR,1.44,5.7,5.1,5.0,1,5.3,2.633333333,3137,FAGR1,0.8034,2.520321042,,,,,,,,,,,,,,,,
IP#2,6/18/2020,120,FAGR,0.72,10.5,11.0,12.0,1,11.2,5.583333333,7051,FAGR1,0.8034,5.665018205,,,,,,,,,,,,,,,,
IP#2,6/18/2020,120,FAGR,1.36,5.0,6.1,5.8,2,5.6,2.816666667,3390,FAGR2,0.5925,2.008389972,,,,,,,,,,,,,,,,
IP#2,6/18/2020,120,FAGR,1.31,5.0,5.6,5.1,2,5.2,2.616666667,2818,FAGR2,0.5925,1.669576515,,,,,,,,,,,,,,,,
IP#2,6/18/2020,120,FAGR,2.13,7.8,6.6,5.6,2,6.7,3.333333333,7435,FAGR2,0.5925,4.405298298,,,,,,,,,,,,,,,,
IP#2,6/18/2020,120,FAGR,2.00,6.2,7.3,8.2,2,7.2,3.616666667,8219,FAGR2,0.5925,4.869509192,,,,,,,,,,,,,,,,
IP#2,6/18/2020,120,FAGR,1.54,6.2,5.7,5.4,2,5.8,2.883333333,4022,FAGR2,0.5925,2.383135048,,,,,,,,,,,,,,,,
IP#2,6/18/2020,120,FAGR,0.29,5.0,5.1,5.4,2,5.2,2.583333333,608,FAGR2,0.5925,0.360244302,,,,,,,,,,,,,,,,
IP#2,6/18/2020,120,FAGR,0.42,5.1,5.5,6.5,2,5.7,2.85,1072,FAGR2,0.5925,0.635005136,,,,,,,,,,,,,,,,
IP#2,6/18/2020,120,FAGR,0.56,6.2,6.2,6.0,2,6.1,3.066666667,1655,FAGR2,0.5925,0.980300896,,,,,,,,,,,,,,,,
IP#2,6/18/2020,120,FAGR,0.37,5.6,6.6,7.1,2,6.4,3.216666667,1203,FAGR2,0.5925,0.712610256,,,,,,,,,,,,,,,,
IP#2,6/18/2020,120,FAGR,2.37,5.9,8.3,9.1,2,7.8,3.883333333,11228,FAGR2,0.5925,6.652668981,,,,,,,,,,,,,,,,
IP#2,6/18/2020,120,FAGR,1.01,5.1,7.5,7.2,2,6.6,3.3,3455,FAGR2,0.5925,2.047328259,,,,,,,,,,,,,,,,
IP#2,6/18/2020,120,FAGR,1.10,8.8,8.7,8.5,2,8.7,4.333333333,6489,FAGR2,0.5925,3.844811989,,,,,,,,,,,,,,,,
IP#2,6/18/2020,120,FAGR,0.58,6.7,6.6,6.9,2,6.7,3.366666667,2065,FAGR2,0.5925,1.223676047,,,,,,,,,,,,,,,,
IP#2,6/18/2020,120,FAGR,0.40,6.4,6.1,5.7,2,6.1,3.033333333,1156,FAGR2,0.5925,0.685075591,,,,,,,,,,,,,,,,
IP#2,6/18/2020,120,FAGR,0.72,5.0,5.2,5.8,2,5.3,2.666666667,1608,FAGR2,0.5925,0.953033547,,,,,,,,,,,,,,,,
IP#2,6/18/2020,120,FAGR,0.59,5.0,5.3,7.0,2,5.8,2.883333333,1541,FAGR2,0.5925,0.913019272,,,,,,,,,,,,,,,,
IP#2,6/18/2020,120,FAGR,0.35,5.2,5.4,5.6,2,5.4,2.7,802,FAGR2,0.5925,0.474934589,,,,,,,,,,,,,,,,
IP#2,6/18/2020,120,FAGR,0.57,5.0,5.9,5.2,2,5.4,2.683333333,1289,FAGR2,0.5925,0.763945425,,,,,,,,,,,,,,,,
IP#2,6/18/2020,120,FAGR,2.57,7.2,5.1,5.0,2,5.8,2.883333333,6712,FAGR2,0.5925,3.977050047,,,,,,,,,,,,,,,,
IP#2,6/18/2020,120,FAGR,0.26,5.0,5.4,5.7,2,5.4,2.683333333,588,FAGR2,0.5925,0.348466334,,,,,,,,,,,,,,,,
IP#2,6/18/2020,120,FAGR,0.65,5.5,5.7,5.6,3,5.6,2.8,1601,FAGR3,0.4304,0.689051297,,,,,,,,,,,,,,,,
IP#2,6/18/2020,120,Unknown,0.21,5.0,6.4,6.5,2,6.0,2.983333333,587,Unknown2,0.4314,0.253310312,,,,,,,,,,,,,,,,
IP#2,6/18/2020,120,Unknown,0.23,5.0,6.5,6.8,2,6.1,3.05,672,Unknown2,0.4314,0.289972978,,,,,,,,,,,,,,,,
IP#2,6/18/2020,120,Unknown,0.23,5.0,6.0,6.3,2,5.8,2.883333333,601,Unknown2,0.4314,0.259147817,,,,,,,,,,,,,,,,
IP#2,6/18/2020,120,Unknown,0.29,6.0,6.3,7.1,2,6.5,3.233333333,952,Unknown2,0.4314,0.410893216,,,,,,,,,,,,,,,,
IP#2,6/18/2020,120,Unknown,1.03,6.3,6.4,5.6,2,6.1,3.05,3010,Unknown2,0.4314,1.298574639,,,,,,,,,,,,,,,,
IP#2,6/18/2020,120,Unknown,0.38,7.0,6.5,6.3,2,6.6,3.3,1300,Unknown2,0.4314,0.56084324,,,,,,,,,,,,,,,,
IP#2,6/18/2020,120,Unknown,0.66,7.3,6.5,5.8,3,6.5,3.266666667,2213,Unknown3,0.3356,0.742549487,,,,,,,,,,,,,,,,
IP#2,6/18/2020,120,Unknown,0.43,5.7,5.5,5.2,4,5.5,2.733333333,1009,Unknown4,0.2517,0.254031012,,,,,,,,,,,,,,,,
IP#2,6/18/2020,240,FAGR,1.39,7.1,6.9,7.1,1,7.0,3.516666667,5400,FAGR1,0.8034,4.338692891,,,,,,,,,,,,,,,,
IP#2,6/18/2020,240,FAGR,0.48,15.5,16.3,18.0,1,16.6,8.3,10388,FAGR1,0.8034,8.346014256,,,,,,,,,,,,,,,,
IP#2,6/18/2020,240,FAGR,0.29,12.0,11.1,10.4,1,11.2,5.583333333,2840,FAGR1,0.8034,2.281743444,,,,,,,,,,,,,,,,
IP#2,6/18/2020,240,FAGR,1.17,14.5,11.0,9.2,1,11.6,5.783333333,12294,FAGR1,0.8034,9.876976277,,,,,,,,,,,,,,,,
IP#2,6/18/2020,240,FAGR,1.35,5.0,6.2,7.5,1,6.2,3.116666667,4120,FAGR1,0.8034,3.309757545,,,,,,,,,,,,,,,,
IP#2,6/18/2020,240,FAGR,1.57,44.5,43.1,42.5,2,43.4,21.68333333,231900,FAGR2,0.5925,137.4010249,,,,,,,,,,,,,,,,
IP#2,6/18/2020,240,FAGR,0.23,18.3,17.5,17.4,2,17.7,8.866666667,5681,FAGR2,0.5925,3.365788539,,,,,,,,,,,,,,,,
IP#2,6/18/2020,240,FAGR,1.31,6.0,5.2,5.1,2,5.4,2.716666667,3037,FAGR2,0.5925,1.799625884,,,,,,,,,,,,,,,,
IP#2,6/18/2020,240,FAGR,0.94,5.0,5.4,5.6,2,5.3,2.666666667,2100,FAGR2,0.5925,1.244238242,,,,,,,,,,,,,,,,
IP#2,6/18/2020,240,FAGR,1.89,7.8,8.3,7.2,2,7.8,3.883333333,8954,FAGR2,0.5925,5.305292985,,,,,,,,,,,,,,,,
IP#2,6/18/2020,240,FAGR,1.37,12.1,9.3,9.5,2,10.3,5.15,11415,FAGR2,0.5925,6.763527382,,,,,,,,,,,,,,,,
IP#2,6/18/2020,240,FAGR,0.56,7.7,5.5,5.6,2,6.3,3.133333333,1727,FAGR2,0.5925,1.023385954,,,,,,,,,,,,,,,,
IP#2,6/18/2020,240,FAGR,0.27,11.5,10.6,9.8,2,10.6,5.316666667,2398,FAGR2,0.5925,1.420629592,,,,,,,,,,,,,,,,
IP#2,6/18/2020,240,FAGR,0.73,7.6,7.9,7.8,2,7.8,3.883333333,3458,FAGR2,0.5925,2.049134328,,,,,,,,,,,,,,,,
IP#2,6/18/2020,240,FAGR,0.96,6.8,5.3,5.6,2,5.9,2.95,2625,FAGR2,0.5925,1.555082709,,,,,,,,,,,,,,,,
IP#2,6/18/2020,240,FAGR,1.41,7.3,7.3,6.4,2,7.0,3.5,5426,FAGR2,0.5925,3.215092177,,,,,,,,,,,,,,,,
IP#2,6/18/2020,240,FAGR,1.25,5.0,5.4,5.5,2,5.3,2.65,2758,FAGR2,0.5925,1.633954611,,,,,,,,,,,,,,,,
IP#2,6/18/2020,240,FAGR,3.53,7.0,8.3,9.4,2,8.2,4.116666667,18794,FAGR2,0.5925,11.13536196,,,,,,,,,,,,,,,,
IP#2,6/18/2020,240,FAGR,4.10,6.0,10.7,15.1,2,10.6,5.3,36181,FAGR2,0.5925,21.4374845,,,,,,,,,,,,,,,,
