"LTREB_Tag_2019","LTREB_Tag_2014","Old_Tag","Species","Plot_ID","Outside_Historic_Plot","Measure_Year","Date","Distance","Azimuth","Status","Origin_Year","Years_Standing","DBH","As_Class","AGB","Estimated_Height","Notes"
NA,NA,"554","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,4.1,"N",4.5,NA,NA
NA,NA,"555","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,4.1,"N",4.5,NA,NA
NA,NA,"27","ACSA","BS34A","N","1939",NA,NA,NA,NA,1879,60,4.1,"N",4.5,NA,NA
NA,NA,"178","ACSA","BS34A","N","1939",NA,NA,NA,NA,1879,60,4.1,"N",4.5,NA,NA
NA,NA,"220","ACSA","BS34A","N","1939",NA,NA,NA,NA,1879,60,4.1,"N",4.5,NA,NA
NA,NA,"302","ACSA","BS34A","N","1939",NA,NA,NA,NA,1879,60,4.1,"N",4.5,NA,NA
NA,NA,"304","ACSA","BS34A","N","1939",NA,NA,NA,NA,1879,60,4.1,"N",4.5,NA,NA
NA,NA,"313","ACSA","BS34A","N","1939",NA,NA,NA,NA,1879,60,4.1,"N",4.5,NA,NA
NA,NA,"360","ACSA","BS34A","N","1939",NA,NA,NA,NA,1879,60,4.1,"N",4.5,NA,NA
NA,NA,"404","ACSA","BS34A","N","1939",NA,NA,NA,NA,1879,60,4.1,"N",4.5,NA,NA
NA,NA,"441","ACSA","BS34A","N","1939",NA,NA,NA,NA,1879,60,4.1,"N",4.5,NA,NA
NA,NA,"463","ACSA","BS34A","N","1939",NA,NA,NA,NA,1879,60,4.1,"N",4.5,NA,NA
NA,NA,"507","ACSA","BS34A","N","1939",NA,NA,NA,NA,1879,60,4.1,"N",4.5,NA,NA
NA,NA,"531","ACSA","BS34A","N","1939",NA,NA,NA,NA,1879,60,4.1,"N",4.5,NA,NA
NA,NA,"549","ACSA","BS34A","N","1939",NA,NA,NA,NA,1879,60,4.1,"N",4.5,NA,NA
NA,NA,"559","ACSA","BS34A","N","1939",NA,NA,NA,NA,1879,60,4.1,"N",4.5,NA,NA
NA,NA,"641","ACSA","BS34A","N","1939",NA,NA,NA,NA,1879,60,4.1,"N",4.5,NA,NA
NA,NA,"642","ACSA","BS34A","N","1939",NA,NA,NA,NA,1879,60,4.1,"N",4.5,NA,NA
NA,NA,"648","ACSA","BS34A","N","1939",NA,NA,NA,NA,1879,60,4.1,"N",4.5,NA,NA
NA,NA,"649","ACSA","BS34A","N","1939",NA,NA,NA,NA,1879,60,4.1,"N",4.5,NA,NA
NA,NA,"180","ACSA","BS34A","N","1944",NA,NA,NA,NA,1879,65,4.1,"N",4.5,NA,NA
NA,NA,"467","ACSA","BS34A","N","1944",NA,NA,NA,NA,1879,65,4.1,"N",4.5,NA,NA
