Sort,Plot,Origin year,Common Name,Species code,old tag,LTREB tag,Measure Year,Stand Year,dbh (inches),dbh (cm),AGB (kg),ht
246,BS34A,,Acer saccharum,ACSA,140,,1934,,1.8,4.6,6,
247,BS34A,,Acer saccharum,ACSA,160,,1934,,1.8,4.6,6,
248,BS34A,,Acer saccharum,ACSA,181,,1934,,1.8,4.6,6,
249,BS34A,,Acer saccharum,ACSA,182,,1934,,1.8,4.6,6,
250,BS34A,,Acer saccharum,ACSA,211,,1934,,1.8,4.6,6,
251,BS34A,,Acer saccharum,ACSA,239,,1934,,1.8,4.6,6,
252,BS34A,,Acer saccharum,ACSA,244,,1934,,1.8,4.6,6,
253,BS34A,,Acer saccharum,ACSA,298,,1934,,1.8,4.6,6,
254,BS34A,,Acer saccharum,ACSA,305,,1934,,1.8,4.6,6,
255,BS34A,,Acer saccharum,ACSA,311,,1934,,1.8,4.6,6,
256,BS34A,,Acer saccharum,ACSA,317,,1934,,1.8,4.6,6,
257,BS34A,,Acer saccharum,ACSA,355,,1934,,1.8,4.6,6,
258,BS34A,,Acer saccharum,ACSA,440,,1934,,1.8,4.6,6,
259,BS34A,,Acer saccharum,ACSA,457,,1934,,1.8,4.6,6,
260,BS34A,,Acer saccharum,ACSA,484,,1934,,1.8,4.6,6,
261,BS34A,,Acer saccharum,ACSA,508,,1934,,1.8,4.6,6,
262,BS34A,,Acer saccharum,ACSA,539,,1934,,1.8,4.6,6,
263,BS34A,,Acer saccharum,ACSA,547,,1934,,1.8,4.6,6,
264,BS34A,,Acer saccharum,ACSA,556,,1934,,1.8,4.6,6,
265,BS34A,,Acer saccharum,ACSA,616,,1934,,1.8,4.6,6,
266,BS34A,,Acer saccharum,ACSA,622,,1934,,1.8,4.6,6,
267,BS34A,,Acer saccharum,ACSA,4,,1939,,1.8,4.6,6,
268,BS34A,,Acer saccharum,ACSA,22,,1939,,1.8,4.6,6,
269,BS34A,,Acer saccharum,ACSA,67,,1939,,1.8,4.6,6,
270,BS34A,,Acer saccharum,ACSA,114,,1939,,1.8,4.6,6,
271,BS34A,,Acer saccharum,ACSA,122,,1939,,1.8,4.6,6,
272,BS34A,,Acer saccharum,ACSA,126,,1939,,1.8,4.6,6,
273,BS34A,,Acer saccharum,ACSA,127,,1939,,1.8,4.6,6,
274,BS34A,,Acer saccharum,ACSA,128,,1939,,1.8,4.6,6,
275,BS34A,,Acer saccharum,ACSA,137,,1939,,1.8,4.6,6,
276,BS34A,,Acer saccharum,ACSA,192,,1939,,1.8,4.6,6,
277,BS34A,,Acer saccharum,ACSA,216,,1939,,1.8,4.6,6,
278,BS34A,,Acer saccharum,ACSA,226,,1939,,1.8,4.6,6,
279,BS34A,,Acer saccharum,ACSA,253,,1939,,1.8,4.6,6,
280,BS34A,,Acer saccharum,ACSA,350,,1939,,1.8,4.6,6,
281,BS34A,,Acer saccharum,ACSA,355,,1939,,1.8,4.6,6,
282,BS34A,,Acer saccharum,ACSA,362,,1939,,1.8,4.6,6,
283,BS34A,,Acer saccharum,ACSA,408,,1939,,1.8,4.6,6,
284,BS34A,,Acer saccharum,ACSA,425,,1939,,1.8,4.6,6,
285,BS34A,,Acer saccharum,ACSA,429,,1939,,1.8,4.6,6,
286,BS34A,,Acer saccharum,ACSA,436,,1939,,1.8,4.6,6,
287,BS34A,,Acer saccharum,ACSA,457,,1939,,1.8,4.6,6,
288,BS34A,,Acer saccharum,ACSA,483,,1939,,1.8,4.6,6,
289,BS34A,,Acer saccharum,ACSA,487,,1939,,1.8,4.6,6,
290,BS34A,,Acer saccharum,ACSA,499,,1939,,1.8,4.6,6,
291,BS34A,,Acer saccharum,ACSA,521,,1939,,1.8,4.6,6,
292,BS34A,,Acer saccharum,ACSA,554,,1939,,1.8,4.6,6,
293,BS34A,,Acer saccharum,ACSA,566,,1939,,1.8,4.6,6,
