50 YEAR PLOT NO. 5,,,,,,,,,,,,
".1 acre, 66 ft. square",,,,,,,,,,,Actual ,
,,,,,DBH Class in Inches-------------------,,,,,,DBH (in),
SPECIES,X (ft.),X_COORD,Y (ft.),Y_COORD,1938,1945,1951,1955,1973,1979,1991,2001
13,7.36,1917260.36,48.68,828889.68 ,,,,0.5,,,,
13,7.85,1917260.85,39.30,828880.30 ,,0.5,1.0,2.0,3.0,4.0,,
13,9.64,1917262.64,49.20,828890.20 ,,,,0.5,,,,
13,9.87,1917262.87,34.52,828875.52 ,,0.5,1.0,2.0,3.0,,,
13,10.13,1917263.13,26.76,828867.76 ,,,1.0,1.0,4.0,5.0,6.1,
13,10.56,1917263.56,34.45,828875.45 ,,0.5,1.0,2.0,7.0,8.0,10.6,12.4
13,11.55,1917264.55,51.02,828892.02 ,,,,0.5,,,,
13,12.51,1917265.51,52.24,828893.24 ,,,,0.5,,,,
13,13.23,1917266.23,29.70,828870.70 ,,0.5,1.0,1.0,,,,
13,13.89,1917266.89,52.17,828893.17 ,,,,1.0,3.0,4.0,,
13,16.96,1917269.96,11.62,828852.62 , ,1.0,2.0,3.0,7.0,10.0,13.2,15.1
13,17.52,1917270.52,18.61,828859.61 ,,1.0,,,,,,
13,20.46,1917273.46,43.56,828884.56 ,,,,0.5,1.0,1.0,,
13,21.95,1917274.95,13.00,828854.00 , ,1.0, , , , ,,
13,22.14,1917275.14,14.45,828855.45 ,,,,2.0,3.0,3.0,,
13,30.86,1917283.86,33.56,828874.56 ,2.0,2.0,3.0,3.0,6.0,8.0,,
13,31.75,1917284.75,12.44,828853.44 ,3.0, , , , , ,,
13,36.53,1917289.53,6.20,828847.20 ,,,,,2.0,2.0,2.6,2.7
13,39.07,1917292.07,12.94,828853.94 ,,,,,1.0,,,
13,40.43,1917293.43,32.04,828873.04 ,3.0,5.0,7.0,9.0,14.0,,,
13,40.66,1917293.66,10.46,828851.46 ,,,,,2.0,2.0,,
13,41.55,1917294.55,8.61,828849.61 ,3.0, , , , , ,,
13,43.03,1917296.03,49.67,828890.67 ,,,,0.5,,,,
13,43.36,1917296.36,59.10,828900.10 ,,,1.0,1.0,2.0,,,
13,47.19,1917300.19,5.91,828846.91 ,,,,0.5,,,,
13,47.52,1917300.52,5.28,828846.28 ,,,,0.5,,,,
13,47.88,1917300.88,5.78,828846.78 ,,,,0.5,2.0,2.0,2.6,
13,48.91,1917301.91,5.38,828846.38 ,,,0.5,1.0,2.0,3.0,,
13,51.88,1917304.88,51.98,828892.98 ,,,,0.5,,,,
13,58.67,1917311.67,16.70,828857.70 ,,,,0.5,,,,
13,60.03,1917313.03,15.97,828856.97 ,,,,0.5,2.0,2.0,2.6,
13,60.26,1917313.26,16.83,828857.83 ,,0.5,,,,,,
13,62.54,1917315.54,9.17,828850.17 ,,,,0.5,,,,
13,63.00,1917316.00,30.20,828871.20 ,6.0,,,,,,,
13,63.89,1917316.89,30.06,828871.06 ,,,0.5,1.0,,,,
13,64.35,1917317.35,47.42,828888.42 ,,0.5,,,,,,
20,27.19,1917280.19,34.55,828875.55 ,,,,,,0.5,,
20,28.58,1917281.58,34.12,828875.12 ,,,,0.5,,,,
20,28.71,1917281.71,35.67,828876.67 ,,,,1.0,1.0,1.0,,
20,29.07,1917282.07,34.72,828875.72 ,,,1.0,1.0,1.0,,,
20,29.34,1917282.34,33.03,828874.03 ,,,1.0,1.0,,,,
22,63.46,1917316.46,18.71,828859.71 ,,,,0.5,1.0,1.0,0.3,0.6
24,1.62,1917254.62,60.26,828901.26 ,,,,,,0.5,,
26,30.76,1917283.76,38.87,828879.87 ,,,,,1.0,1.0,3.0,4.2
26,36.53,1917289.53,13.99,828854.99 ,,,,,0.5,0.5,1.4,
26,37.03,1917290.03,13.56,828854.56 ,,,,,0.5,0.5,1.5,2.5?
26,46.70,1917299.70,58.31,828899.31 ,,,,,0.5,0.5,1.2,2.3
26,47.03,1917300.03,15.28,828856.28 ,,,,,1.0,1.0,3.6,5.0
26,49.70,1917302.70,20.23,828861.23 ,,,,,1.0,1.0,2.4,3.4
26,51.84,1917304.84,7.56,828848.56 ,,,,,1.0,2.0,,
26,57.42,1917310.42,58.97,828899.97 ,,,,,1.0,1.0,,
26,65.34,1917318.34,33.66,828874.66 ,,,,,2.0,,,
27,0.23,1917253.23,27.98,828868.98 ,,,,0.5,,,,
27,0.33,1917253.33,16.37,828857.37 ,,0.5,1.0,,,,,
27,0.43,1917253.43,37.13,828878.13 ,,,,0.5,,,,
27,0.99,1917253.99,35.64,828876.64 ,,,,0.5,,,,
27,1.25,1917254.25,25.67,828866.67 ,,0.5,,,,,,
27,1.95,1917254.95,34.45,828875.45 ,,,,0.5,,,,
27,1.98,1917254.98,46.10,828887.10 ,,,1.0,,,,,
27,3.04,1917256.04,9.11,828850.11 ,,,,,,0.5,,
27,3.14,1917256.14,8.25,828849.25 ,1.0, , , , , ,,
27,3.96,1917256.96,5.05,828846.05 ,1.0, , , , , ,,
27,3.96,1917256.96,33.66,828874.66 ,,,,0.5,,,,
27,4.95,1917257.95,65.74,828906.74 ,4.0,,,,,,,
27,5.31,1917258.31,14.26,828855.26 ,4.0, , , , , ,,
27,5.97,1917258.97,55.94,828896.94 ,6.0,,,,,,,
27,6.11,1917259.11,2.74,828843.74 ,3.0,4.0,4.0,4.0,7.0,7.0,9.1,8.8
27,6.20,1917259.20,28.88,828869.88 ,4.0,,,,,,,
27,6.24,1917259.24,14.78,828855.78 ,3.0, , , , , ,,
27,6.37,1917259.37,50.13,828891.13 ,,,,0.5,,,,
27,7.16,1917260.16,4.65,828845.65 ,2.0,2.0,3.0, , , ,,
27,7.76,1917260.76,8.94,828849.94 ,2.0,3.0,3.0,4.0,7.0,8.0,,
27,7.89,1917260.89,3.30,828844.30 ,3.0, , , , , ,,
27,7.89,1917260.89,25.15,828866.15 ,4.0,,,,,,,
27,7.92,1917260.92,5.45,828846.45 ,3.0,4.0,5.0,5.0, , ,,
27,7.95,1917260.95,27.79,828868.79 ,4.0,,,,,,,
27,8.58,1917261.58,17.95,828858.95 ,3.0, , , , , ,,
27,8.61,1917261.61,4.59,828845.59 ,3.0, , , , , ,,
27,9.14,1917262.14,53.23,828894.23 ,4.0,,,,,,,
27,9.34,1917262.34,18.45,828859.45 ,2.0, , , , , ,,
27,10.20,1917263.20,18.12,828859.12 ,1.0, , , , , ,,
27,10.96,1917263.96,48.64,828889.64 ,3.0,,,,,,,
27,11.81,1917264.81,14.26,828855.26 ,,,,0.5,,,,
27,12.28,1917265.28,0.56,828841.56 ,1.0, , , , , ,,
27,13.20,1917266.20,49.60,828890.60 ,4.0,,,,,,,
27,13.63,1917266.63,7.95,828848.95 ,1.0, , , , , ,,
27,13.70,1917266.70,29.11,828870.11 ,,0.5,1.0,,,,,
27,13.76,1917266.76,58.41,828899.41 ,5.0,,,,,,,
27,13.89,1917266.89,32.54,828873.54 ,,0.5,,,,,,
27,14.29,1917267.29,56.23,828897.23 ,,,,0.5, , ,,
27,14.29,1917267.29,56.89,828897.89 ,,, ,0.5,1.0,,,
27,14.36,1917267.36,27.82,828868.82 ,1.0,,,,,,,
27,14.69,1917267.69,25.61,828866.61 ,,,0.5,,,,,
27,14.69,1917267.69,27.06,828868.06 ,,0.5,,,,,,
27,14.95,1917267.95,58.87,828899.87 ,4.0,,,,,,,
27,15.15,1917268.15,14.12,828855.12 ,,,,0.5,,,,
27,15.21,1917268.21,27.95,828868.95 ,,,,0.5, ,,,
27,15.44,1917268.44,19.47,828860.47 ,,,,,,0.5,,
27,15.51,1917268.51,39.14,828880.14 ,1.0,,,,,,,
27,16.01,1917269.01,52.24,828893.24 ,2.0,,,,,,,
27,16.14,1917269.14,16.76,828857.76 ,,,,,,0.5,,
27,16.37,1917269.37,20.99,828861.99 ,,,,,,0.5,,
27,16.47,1917269.47,31.35,828872.35 ,,,,0.5,,,,
27,16.60,1917269.60,38.97,828879.97 ,2.0,,,,,,,
27,16.63,1917269.63,55.18,828896.18 ,,,,0.5,,,,
27,16.76,1917269.76,56.46,828897.46 ,,,1.0,1.0,,,,
27,17.39,1917270.39,6.24,828847.24 , ,0.5, , , , ,,
27,18.05,1917271.05,5.12,828846.12 , ,0.5,0.5,0.5, , ,,
27,18.45,1917271.45,32.31,828873.31 ,,,,0.5,,,,
27,18.78,1917271.78,5.87,828846.87 , ,0.5, , , , ,,
27,18.98,1917271.98,30.46,828871.46 ,,,,0.5,,,,
27,19.17,1917272.17,49.47,828890.47 ,,0.5,1.0,,,,,
27,19.77,1917272.77,37.59,828878.59 ,3.0,,,,,,,
27,19.77,1917272.77,44.39,828885.39 ,2.0,,,,,,,
27,20.46,1917273.46,48.41,828889.41 ,,,,,2.0,,,
27,20.49,1917273.49,56.43,828897.43 ,,,,,1.0,,,
27,20.66,1917273.66,15.51,828856.51 ,3.0,3.0,4.0,4.0, , ,,
27,20.66,1917273.66,15.51,828856.51 ,3.0,3.0,,,,,,
27,20.79,1917273.79,57.92,828898.92 ,,,1.0,,,,,
27,20.86,1917273.86,30.69,828871.69 ,,0.5,,,,,,
27,21.05,1917274.05,14.29,828855.29 ,3.0, , , , , ,,
27,21.58,1917274.58,37.42,828878.42 ,3.0,,,,,,,
27,22.21,1917275.21,35.87,828876.87 ,,,,0.5,,,,
27,23.33,1917276.33,53.36,828894.36 ,,,,0.5,,,,
27,23.60,1917276.60,59.24,828900.24 ,,0.5,1.0,1.0,,,,
27,23.76,1917276.76,55.54,828896.54 ,3.0,,,,,,,
27,24.75,1917277.75,59.20,828900.20 ,3.0,,,,,,,
27,24.78,1917277.78,0.20,828841.20 ,3.0,3.0,4.0,4.0,4.0, ,,
27,24.82,1917277.82,65.57,828906.57 ,2.0,,,,,,,
27,25.38,1917278.38,8.88,828849.88 ,4.0, , , , , ,,
27,25.41,1917278.41,9.64,828850.64 ,3.0,4.0, , , , ,,
27,25.44,1917278.44,52.93,828893.93 ,3.0,,,,,,,
27,25.74,1917278.74,47.29,828888.29 ,3.0,,,,,,,
27,26.93,1917279.93,63.79,828904.79 ,0.5,,,,,,,
27,27.13,1917280.13,54.15,828895.15 ,2.0,,,,,,,
27,27.19,1917280.19,61.81,828902.81 ,,0.5,,,,,,
27,27.56,1917280.56,34.22,828875.22 ,4.0,,,,,,,
27,27.65,1917280.65,60.92,828901.92 ,3.0,,,,,,,
27,28.05,1917281.05,59.30,828900.30 ,,0.5,,,,,,
27,28.22,1917281.22,40.16,828881.16 ,,,0.5,,,,,
27,28.25,1917281.25,28.48,828869.48 ,1.0,,,,,,,
27,28.58,1917281.58,2.41,828843.41 ,4.0, , , , , ,,
27,29.90,1917282.90,57.98,828898.98 ,,,0.5,,,,,
27,30.69,1917283.69,40.69,828881.69 ,3.0,4.0,4.0,4.0,7.0,7.0,7.9,7.8
27,30.86,1917283.86,34.49,828875.49 ,2.0,2.0,,,,,,
27,30.86,1917283.86,58.08,828899.08 ,2.0, ,,,,,,
27,31.35,1917284.35,55.74,828896.74 ,4.0,,,,,,,
27,31.55,1917284.55,39.96,828880.96 ,,,,0.5,,,,
27,31.55,1917284.55,40.26,828881.26 ,1.0,2.0,3.0,3.0,,,,
27,31.58,1917284.58,64.22,828905.22 ,,0.5,,,,,,
27,32.14,1917285.14,2.48,828843.48 ,2.0, , , , , ,,
27,32.24,1917285.24,65.87,828906.87 ,,0.5,,,,,,
